Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
29/1/2008,3.692,0.112,240.360,15.400,0.000,0.000,18.000
23/10/2007,1.284,0.000,240.120,5.200,0.000,0.000,18.000
30/3/2007,0.446,0.232,244.670,2.000,0.000,0.000,0.000
16/6/2008,0.334,0.000,242.740,1.600,0.000,0.000,1.000
19/2/2008,1.468,0.188,239.810,6.200,0.000,2.000,18.000
11/12/2007,0.218,0.000,245.260,0.800,0.000,0.000,0.000
10/7/2008,0.138,0.000,242.070,0.600,0.000,0.000,1.000
17/4/2007,0.254,0.094,239.670,1.200,0.000,0.000,0.000
29/10/2008,0.698,0.058,243.740,2.800,0.000,0.000,0.000
8/8/2007,0.242,0.120,236.610,1.000,0.000,0.000,0.000
12/6/2007,0.112,0.000,241.190,0.600,0.000,0.000,0.000
21/3/2007,1.390,0.102,240.450,5.800,0.000,0.000,18.000
19/11/2008,1.564,0.084,241.820,6.600,0.000,0.000,0.000
5/1/2008,4.010,0.400,232.300,17.600,0.000,1.000,16.000
14/10/2007,1.582,0.190,239.630,6.600,0.000,0.000,17.000
21/7/2007,0.184,0.056,235.440,0.800,0.000,0.000,0.000
29/12/2006,3.284,0.000,238.130,13.800,0.000,0.000,17.000
24/8/2008,0.080,0.000,239.750,0.200,0.000,0.000,1.000
4/5/2007,0.286,0.202,238.140,1.400,0.000,0.000,0.000
6/6/2008,0.280,0.112,242.650,1.200,0.000,0.000,0.000
9/11/2008,0.778,0.084,243.260,3.200,0.000,0.000,0.000
18/7/2007,0.214,0.076,225.850,1.000,0.000,0.000,0.000
20/12/2007,0.322,0.110,246.470,1.400,0.000,0.000,0.000
22/4/2007,0.248,0.138,241.810,1.200,0.000,0.000,0.000
16/5/2007,1.386,0.072,234.040,5.800,0.000,0.000,17.000
22/11/2007,0.322,0.112,246.240,1.400,0.000,0.000,0.000
12/1/2007,0.314,0.162,242.450,1.400,0.000,0.000,0.000
14/8/2008,0.178,0.152,240.610,0.800,0.000,0.000,0.000
22/11/2007,2.358,0.000,237.050,9.800,0.000,1.000,17.000
1/7/2008,0.414,0.122,240.090,2.000,0.000,0.000,1.000
4/8/2007,0.310,0.100,237.420,1.400,0.000,0.000,0.000
13/3/2008,1.382,0.054,241.030,5.600,0.000,0.000,18.000
6/12/2007,1.720,0.094,241.220,7.200,0.000,0.000,18.000
4/3/2008,0.504,0.000,240.680,2.000,0.000,0.000,0.000
27/12/2007,2.006,0.316,238.490,8.400,1.000,5.000,18.000
16/2/2007,0.434,0.000,247.310,2.000,0.000,0.000,0.000
12/6/2008,2.062,0.318,240.340,8.600,1.000,1.000,18.000
31/5/2007,0.410,0.052,235.710,1.800,0.000,0.000,0.000
5/7/2007,0.914,0.158,239.140,3.800,0.000,0.000,0.000
28/9/2008,0.272,0.124,240.530,1.200,0.000,0.000,0.000
16/5/2007,0.598,0.182,235.800,2.800,0.000,0.000,0.000
29/6/2008,0.300,0.126,241.000,1.400,0.000,0.000,1.000
11/1/2008,4.386,0.076,234.580,18.600,37.000,0.000,17.000
9/7/2008,0.140,0.000,241.300,0.600,0.000,0.000,1.000
4/3/2008,1.338,0.052,238.230,5.600,0.000,0.000,18.000
22/11/2008,1.946,0.112,235.810,8.200,0.000,0.000,0.000
19/4/2008,4.822,0.486,237.370,20.400,38.000,29.000,1.000
9/1/2007,1.284,0.124,240.350,5.400,0.000,1.000,0.000
10/10/2008,0.958,0.180,235.070,4.000,0.000,0.000,0.000
10/9/2007,3.278,0.096,236.130,13.800,0.000,0.000,17.000
20/9/2007,0.110,0.000,241.740,0.600,0.000,0.000,0.000
3/4/2008,0.292,0.000,246.250,1.200,0.000,0.000,0.000
6/7/2007,5.394,0.210,238.300,22.600,38.000,24.000,17.000
6/4/2007,0.228,0.000,244.390,1.000,0.000,0.000,0.000
24/4/2007,3.080,0.106,232.980,13.200,0.000,0.000,16.000
23/11/2008,3.242,0.210,239.590,13.600,1.000,0.000,18.000
3/2/2008,0.228,0.000,242.820,1.000,0.000,0.000,0.000
7/10/2008,0.424,0.000,242.570,2.000,0.000,0.000,0.000
6/3/2007,0.780,0.104,240.300,3.400,0.000,2.000,0.000
2/3/2008,0.500,0.000,237.340,2.000,0.000,0.000,0.000
16/9/2008,0.264,0.098,240.470,1.200,0.000,1.000,0.000
10/4/2008,0.270,0.000,241.360,1.000,0.000,0.000,1.000
25/11/2007,0.378,0.194,240.370,1.800,0.000,1.000,0.000
4/11/2008,0.358,0.086,241.540,1.600,0.000,0.000,0.000
8/3/2007,1.414,0.070,241.690,5.800,0.000,0.000,18.000
3/4/2007,1.372,0.104,239.460,5.600,0.000,0.000,18.000
29/6/2008,0.506,0.226,239.330,2.400,0.000,2.000,1.000
28/9/2007,1.412,0.078,239.260,5.800,0.000,1.000,17.000
26/9/2007,0.290,0.078,241.450,1.200,0.000,1.000,0.000
10/3/2008,0.328,0.000,244.240,1.400,0.000,0.000,0.000
1/1/2008,4.426,0.048,239.550,18.400,2.000,39.000,18.000
7/5/2008,0.502,0.190,244.490,2.200,0.000,1.000,0.000
14/4/2007,0.212,0.000,238.050,0.800,0.000,0.000,0.000
4/10/2007,1.702,0.078,236.910,7.200,0.000,0.000,17.000
21/5/2007,0.322,0.068,234.710,1.400,0.000,0.000,0.000
26/3/2008,3.900,0.142,239.650,16.200,39.000,0.000,18.000
23/11/2007,4.754,0.298,235.250,20.200,37.000,1.000,0.000
21/1/2007,0.396,0.258,243.100,2.000,0.000,1.000,0.000
9/3/2007,0.300,0.064,240.210,1.200,0.000,0.000,0.000
16/7/2008,0.220,0.000,241.000,1.000,0.000,0.000,1.000
4/2/2008,1.638,0.200,239.320,6.800,0.000,2.000,18.000
19/6/2007,0.456,0.000,241.140,1.800,0.000,0.000,0.000
8/11/2007,0.228,0.000,243.130,1.000,0.000,0.000,0.000
30/6/2007,0.334,0.234,241.700,1.600,0.000,1.000,0.000
16/1/2008,2.748,0.096,234.350,11.800,0.000,0.000,0.000
17/12/2007,1.306,0.000,243.450,5.200,0.000,0.000,18.000
31/10/2008,0.244,0.000,241.790,1.000,0.000,1.000,0.000
19/6/2007,0.446,0.228,244.170,2.000,0.000,0.000,0.000
17/5/2008,4.768,0.070,234.960,20.200,37.000,1.000,18.000
26/9/2008,1.188,0.000,237.660,5.000,0.000,0.000,18.000
21/12/2007,1.362,0.062,240.710,5.600,0.000,0.000,18.000
6/2/2007,2.000,0.248,244.150,8.200,0.000,2.000,18.000
11/8/2007,0.104,0.000,236.020,0.400,0.000,0.000,0.000
4/8/2007,0.314,0.104,238.630,1.400,0.000,0.000,0.000
1/6/2007,1.304,0.052,235.250,5.400,0.000,0.000,17.000
6/8/2007,0.136,0.000,235.440,0.600,0.000,0.000,0.000
19/2/2008,2.032,0.114,241.410,8.400,0.000,0.000,18.000
30/7/2007,0.192,0.110,233.990,1.000,0.000,0.000,0.000
3/1/2008,3.022,0.160,236.380,12.800,0.000,2.000,17.000
18/7/2008,0.594,0.116,239.040,2.400,0.000,0.000,1.000
2/4/2007,0.382,0.220,242.830,1.800,0.000,0.000,0.000
9/2/2007,0.234,0.000,242.930,1.000,0.000,0.000,0.000
12/12/2008,1.300,0.070,242.680,5.200,0.000,0.000,18.000
11/9/2007,0.220,0.126,240.480,1.000,0.000,0.000,0.000
30/1/2007,0.580,0.000,243.690,2.400,0.000,1.000,0.000
24/3/2007,3.586,0.092,237.070,15.000,0.000,37.000,18.000
15/5/2007,0.332,0.000,235.250,1.400,0.000,0.000,0.000
3/10/2008,0.426,0.204,242.710,2.000,0.000,1.000,1.000
30/7/2007,0.100,0.000,234.020,0.400,0.000,0.000,0.000
8/1/2007,1.432,0.198,241.230,6.000,0.000,1.000,17.000
30/10/2007,0.204,0.000,239.960,0.800,0.000,0.000,0.000
1/10/2008,1.268,0.360,238.530,5.400,0.000,0.000,1.000
29/9/2007,1.964,0.064,236.940,8.600,7.000,0.000,0.000
28/3/2008,1.316,0.000,242.240,5.400,0.000,0.000,18.000
10/5/2007,0.212,0.096,235.060,1.000,0.000,0.000,0.000
18/7/2008,1.890,0.068,238.280,7.800,0.000,0.000,29.000
26/1/2007,3.062,0.194,237.830,12.800,0.000,0.000,18.000
18/8/2007,0.180,0.104,241.250,0.800,0.000,0.000,0.000
20/3/2007,1.674,0.184,240.130,7.000,0.000,1.000,18.000
20/7/2008,2.000,0.078,236.370,8.400,0.000,0.000,29.000
11/10/2007,0.320,0.096,240.060,1.400,0.000,2.000,0.000
3/9/2008,1.874,0.166,237.860,7.800,0.000,0.000,28.000
29/12/2006,0.358,0.224,234.820,1.800,0.000,0.000,0.000
30/8/2007,0.206,0.134,240.650,1.000,0.000,0.000,0.000
29/3/2007,0.314,0.120,241.710,1.400,0.000,0.000,0.000
1/11/2008,0.426,0.050,243.870,2.000,0.000,0.000,0.000
10/4/2008,0.356,0.122,244.750,1.400,0.000,0.000,1.000
7/3/2008,1.408,0.148,238.030,5.800,0.000,0.000,18.000
9/3/2008,3.526,0.366,237.060,15.000,0.000,1.000,0.000
17/1/2008,0.792,0.080,242.990,3.200,0.000,0.000,0.000
11/3/2008,1.398,0.078,237.940,5.800,0.000,0.000,18.000
2/2/2008,5.836,0.202,233.890,24.800,38.000,0.000,17.000
21/12/2007,1.440,0.096,242.130,5.800,0.000,0.000,18.000
10/6/2007,2.146,0.232,240.130,9.000,1.000,0.000,18.000
6/2/2008,1.496,0.200,243.360,6.200,0.000,0.000,18.000
21/2/2007,0.398,0.152,243.500,1.800,0.000,0.000,0.000
25/3/2008,2.822,0.000,243.530,11.600,1.000,0.000,18.000
8/2/2007,1.398,0.000,241.150,5.800,0.000,0.000,18.000
25/10/2007,0.306,0.114,243.930,1.200,0.000,0.000,0.000
9/7/2008,0.304,0.246,240.750,1.600,0.000,0.000,1.000
3/6/2008,1.654,0.254,233.350,7.200,0.000,1.000,11.000
15/12/2007,4.344,0.072,235.010,18.400,0.000,1.000,17.000
30/6/2008,0.296,0.230,242.630,1.400,0.000,1.000,1.000
20/11/2007,0.412,0.204,243.130,2.000,0.000,0.000,0.000
1/8/2007,0.170,0.098,236.500,0.800,0.000,0.000,0.000
24/3/2008,1.956,0.078,244.860,8.000,0.000,0.000,0.000
12/4/2008,0.450,0.234,242.470,2.000,0.000,1.000,1.000
21/10/2008,0.844,0.068,242.370,3.600,0.000,1.000,10.000
29/11/2007,0.946,0.046,242.990,4.000,0.000,0.000,0.000
9/10/2008,4.276,0.000,236.830,18.000,38.000,0.000,18.000
27/12/2006,0.328,0.180,242.700,1.600,0.000,0.000,0.000
12/12/2007,1.636,0.230,238.330,6.800,0.000,0.000,18.000
3/10/2008,0.276,0.000,241.240,1.200,0.000,0.000,1.000
23/11/2007,1.714,0.066,239.980,7.200,1.000,0.000,18.000
12/1/2008,0.458,0.000,242.870,2.200,0.000,0.000,0.000
2/6/2007,1.428,0.156,235.320,6.000,0.000,2.000,17.000
17/3/2008,0.288,0.092,243.310,1.200,0.000,1.000,0.000
11/9/2007,0.206,0.110,241.570,1.000,0.000,0.000,0.000
24/2/2008,0.294,0.104,243.690,1.200,0.000,1.000,0.000
21/12/2006,0.210,0.000,243.990,0.800,0.000,0.000,0.000
23/1/2007,0.246,0.000,242.940,1.000,0.000,0.000,0.000
28/8/2007,0.114,0.000,242.070,0.600,0.000,0.000,0.000
25/1/2007,0.332,0.154,241.810,1.400,0.000,0.000,0.000
8/8/2007,1.094,0.000,231.900,4.600,0.000,0.000,17.000
22/8/2008,0.080,0.000,240.660,0.200,0.000,0.000,1.000
20/7/2008,0.374,0.054,238.690,1.600,2.000,1.000,1.000
7/4/2007,0.364,0.140,240.860,1.600,0.000,0.000,0.000
12/4/2008,2.838,0.254,240.980,11.800,2.000,0.000,18.000
10/4/2007,1.052,0.134,238.080,4.600,0.000,2.000,0.000
16/7/2008,0.328,0.258,241.910,1.600,0.000,1.000,0.000
23/1/2008,1.494,0.084,240.780,6.200,0.000,0.000,18.000
24/4/2008,2.712,0.402,240.470,11.800,0.000,0.000,0.000
8/2/2007,0.304,0.118,243.460,1.400,0.000,1.000,0.000
23/3/2008,1.798,0.064,240.420,7.400,1.000,1.000,18.000
15/10/2007,0.218,0.000,241.290,0.800,0.000,0.000,0.000
23/1/2008,1.446,0.000,244.610,5.800,0.000,0.000,19.000
15/1/2007,0.300,0.136,243.970,1.400,0.000,1.000,0.000
2/5/2008,0.248,0.000,240.360,1.000,0.000,0.000,0.000
27/3/2008,0.374,0.208,244.100,1.600,0.000,2.000,0.000
5/12/2008,1.506,0.072,242.840,6.200,0.000,0.000,0.000
21/1/2007,1.760,0.406,243.800,7.400,0.000,0.000,18.000
28/8/2007,0.248,0.194,240.220,1.200,0.000,2.000,0.000
10/3/2008,3.348,0.066,238.370,14.000,38.000,0.000,0.000
11/9/2008,0.240,0.102,237.660,1.000,0.000,0.000,0.000
23/11/2007,0.222,0.000,243.870,1.000,0.000,0.000,0.000
16/2/2007,0.428,0.254,240.280,2.000,0.000,1.000,0.000
16/7/2007,1.378,0.222,240.980,5.800,0.000,1.000,18.000
20/3/2008,0.222,0.000,243.620,0.800,0.000,0.000,0.000
23/11/2007,0.340,0.140,243.020,1.400,0.000,2.000,0.000
17/4/2007,0.354,0.236,241.440,1.800,0.000,0.000,0.000
3/2/2007,1.704,0.100,237.120,7.200,0.000,0.000,17.000
3/4/2007,0.216,0.000,241.270,1.000,0.000,0.000,0.000
2/12/2007,0.906,0.146,243.200,3.800,0.000,0.000,0.000
16/5/2008,0.276,0.118,244.400,1.200,0.000,1.000,1.000
21/11/2007,0.230,0.000,244.170,1.000,0.000,0.000,0.000
2/12/2007,1.484,0.000,237.960,6.200,0.000,0.000,17.000
24/3/2008,5.604,0.076,238.030,23.600,37.000,31.000,17.000
17/2/2008,1.332,0.056,244.600,5.400,0.000,0.000,19.000
6/4/2008,1.620,0.214,247.680,6.600,0.000,0.000,19.000
14/3/2008,2.740,0.214,240.650,11.800,0.000,2.000,18.000
25/4/2008,1.674,0.102,238.700,7.000,0.000,0.000,18.000
3/6/2008,2.666,0.150,232.680,11.400,0.000,0.000,18.000
20/8/2008,0.082,0.000,242.930,0.200,0.000,0.000,0.000
15/11/2008,0.366,0.070,237.480,1.600,0.000,0.000,0.000
19/10/2008,2.058,0.486,233.160,9.000,0.000,0.000,0.000
13/8/2007,0.116,0.000,235.610,0.600,0.000,0.000,0.000
24/4/2007,1.276,0.150,236.140,5.400,0.000,0.000,0.000
28/12/2006,2.218,0.140,240.360,9.200,0.000,1.000,18.000
5/4/2008,2.050,0.266,235.710,8.800,0.000,0.000,18.000
14/3/2007,0.462,0.248,243.470,2.200,0.000,1.000,0.000
11/10/2007,4.200,0.242,235.680,17.800,21.000,0.000,17.000
11/12/2008,1.450,0.092,246.940,5.800,0.000,0.000,19.000
20/6/2008,1.328,0.108,237.540,5.600,0.000,0.000,18.000
20/11/2008,0.450,0.062,242.920,1.800,0.000,0.000,0.000
11/1/2008,0.552,0.046,242.140,2.200,0.000,0.000,0.000
25/11/2007,0.724,0.000,242.440,3.200,0.000,0.000,0.000
12/1/2007,0.590,0.146,240.160,2.400,0.000,0.000,0.000
16/1/2008,0.512,0.128,244.340,2.400,0.000,1.000,0.000
8/4/2007,2.374,0.096,239.660,9.800,0.000,0.000,0.000
17/10/2008,1.516,0.222,237.390,6.400,0.000,1.000,18.000
22/3/2007,0.314,0.080,246.810,1.400,0.000,0.000,0.000
9/1/2007,0.212,0.000,240.150,1.000,0.000,0.000,0.000
23/5/2007,0.366,0.160,235.750,1.600,0.000,1.000,0.000
2/3/2007,0.294,0.088,239.510,1.200,0.000,0.000,0.000
17/11/2007,1.312,0.000,237.510,5.400,0.000,0.000,18.000
31/10/2007,0.308,0.102,240.780,1.400,0.000,0.000,0.000
17/5/2007,0.320,0.000,233.190,1.400,0.000,0.000,0.000
16/11/2007,0.300,0.078,243.220,1.200,0.000,0.000,0.000
16/8/2007,0.198,0.138,240.030,1.000,0.000,0.000,0.000
24/4/2007,1.714,0.062,234.930,7.200,0.000,0.000,17.000
29/3/2008,1.624,0.060,235.720,6.800,0.000,1.000,17.000
28/3/2008,0.646,0.192,240.940,2.800,0.000,0.000,0.000
2/12/2007,2.542,0.346,239.480,10.600,0.000,0.000,17.000
30/5/2008,1.562,0.200,240.630,6.600,0.000,0.000,18.000
6/5/2007,0.622,0.092,237.440,2.600,0.000,0.000,0.000
16/8/2008,0.178,0.156,242.470,0.800,0.000,0.000,1.000
14/8/2007,0.104,0.000,238.490,0.400,0.000,0.000,0.000
9/11/2008,3.298,0.000,234.040,14.000,0.000,0.000,16.000
17/3/2008,2.946,0.252,237.530,12.800,0.000,26.000,17.000
22/4/2007,0.486,0.256,242.990,2.400,0.000,2.000,0.000
6/11/2008,0.762,0.218,238.530,3.600,0.000,0.000,0.000
16/11/2007,0.592,0.104,246.710,2.400,0.000,0.000,0.000
19/3/2007,1.372,0.000,241.320,5.600,0.000,0.000,17.000
7/10/2008,0.624,0.220,240.470,2.800,0.000,1.000,1.000
3/6/2007,1.438,0.174,237.350,6.000,0.000,0.000,18.000
28/10/2008,0.206,0.052,242.520,0.800,0.000,0.000,0.000
14/8/2007,0.236,0.116,234.890,1.200,0.000,0.000,0.000
4/11/2008,0.356,0.088,242.410,1.600,0.000,0.000,0.000
30/3/2007,0.220,0.000,243.740,1.000,0.000,0.000,0.000
3/3/2008,1.826,0.290,241.410,7.800,0.000,19.000,0.000
25/2/2007,0.326,0.122,240.580,1.400,0.000,0.000,0.000
10/9/2008,0.244,0.106,242.710,1.000,0.000,1.000,1.000
6/5/2008,0.376,0.106,239.510,1.600,0.000,0.000,0.000
23/5/2008,0.570,0.056,239.900,2.800,0.000,0.000,6.000
4/4/2007,0.286,0.080,241.600,1.200,0.000,0.000,0.000
17/3/2007,4.020,0.000,238.050,16.800,0.000,0.000,17.000
10/11/2007,2.362,0.046,238.430,10.000,1.000,0.000,17.000
4/11/2007,0.210,0.000,243.130,0.800,0.000,0.000,0.000
21/12/2007,1.404,0.000,243.410,5.800,0.000,0.000,0.000
19/7/2007,0.310,0.224,233.780,1.600,0.000,0.000,0.000
5/4/2008,1.580,0.090,240.830,6.600,0.000,1.000,19.000
8/9/2007,2.194,0.174,238.500,10.600,0.000,1.000,17.000
27/5/2008,0.876,0.112,242.470,3.600,0.000,0.000,0.000
25/2/2008,0.352,0.150,240.330,1.600,0.000,1.000,0.000
31/7/2007,0.212,0.064,236.120,1.200,0.000,0.000,0.000
6/7/2008,0.224,0.106,242.750,1.000,0.000,0.000,1.000
14/2/2007,0.350,0.128,242.610,1.600,0.000,0.000,0.000
27/11/2008,0.390,0.208,244.180,1.800,0.000,2.000,0.000
8/1/2008,0.320,0.098,243.430,1.400,0.000,0.000,0.000
16/11/2008,1.024,0.370,237.980,4.600,0.000,0.000,0.000
10/2/2007,1.396,0.272,242.870,5.800,0.000,0.000,0.000
11/2/2008,0.232,0.000,246.780,1.000,0.000,0.000,0.000
5/11/2007,1.450,0.108,240.170,6.000,1.000,0.000,18.000
30/7/2007,0.170,0.152,235.610,1.000,0.000,0.000,0.000
28/12/2007,0.270,0.048,247.890,1.200,0.000,0.000,0.000
12/12/2008,0.354,0.062,245.010,1.400,0.000,2.000,0.000
18/4/2007,0.338,0.228,240.490,1.600,0.000,0.000,0.000
22/12/2007,0.226,0.000,248.330,1.000,0.000,0.000,0.000
18/5/2008,0.340,0.230,240.600,1.800,0.000,0.000,1.000
17/6/2008,2.010,0.146,240.950,8.400,1.000,0.000,18.000
16/10/2007,2.208,0.268,242.820,9.600,0.000,31.000,0.000
18/1/2007,1.430,0.120,238.310,6.000,0.000,0.000,17.000
12/4/2008,3.406,0.424,238.590,14.400,0.000,1.000,18.000
29/6/2008,0.398,0.088,242.250,1.800,0.000,0.000,0.000
25/10/2008,1.486,0.058,242.010,6.000,0.000,0.000,18.000
24/2/2007,0.222,0.000,241.650,1.000,0.000,0.000,0.000
13/8/2008,0.190,0.152,241.150,1.000,0.000,0.000,1.000
21/6/2007,0.784,0.000,236.640,3.200,1.000,0.000,0.000
24/5/2007,1.362,0.068,232.240,5.800,1.000,2.000,17.000
5/8/2008,1.204,0.000,237.700,5.000,0.000,0.000,18.000
14/9/2008,0.258,0.064,243.610,1.000,0.000,0.000,1.000
15/8/2008,0.238,0.250,242.620,1.400,0.000,1.000,1.000
30/5/2008,1.578,0.322,239.300,6.600,0.000,1.000,18.000
12/5/2008,0.162,0.000,241.860,0.600,0.000,0.000,1.000
27/2/2008,0.212,0.000,240.370,0.800,0.000,0.000,0.000
10/3/2008,0.286,0.000,235.160,1.200,0.000,0.000,0.000
2/7/2007,2.208,0.278,240.560,9.400,0.000,31.000,0.000
2/6/2008,0.350,0.214,239.180,1.800,0.000,0.000,1.000
11/5/2008,2.046,0.258,240.540,8.600,0.000,1.000,19.000
4/5/2008,0.366,0.104,240.840,1.600,0.000,0.000,1.000
23/4/2007,1.470,0.058,241.250,6.200,0.000,0.000,19.000
18/2/2008,1.308,0.000,241.610,5.400,0.000,0.000,18.000
9/6/2008,1.620,0.228,236.450,7.000,0.000,2.000,18.000
25/11/2008,0.330,0.080,240.480,1.400,0.000,0.000,0.000
15/8/2007,0.132,0.000,240.350,0.600,0.000,1.000,0.000
6/7/2007,0.196,0.084,238.880,0.800,0.000,0.000,0.000
18/1/2008,2.962,0.210,233.390,12.600,0.000,3.000,17.000
22/7/2007,0.230,0.106,235.790,1.000,0.000,0.000,0.000
26/4/2008,0.666,0.094,241.840,2.800,0.000,1.000,0.000
11/8/2007,0.122,0.000,234.660,0.600,0.000,0.000,0.000
4/12/2008,0.822,0.066,244.980,3.600,0.000,0.000,0.000
3/12/2008,1.854,0.000,242.600,7.600,0.000,0.000,18.000
21/4/2007,3.636,0.322,234.250,15.600,38.000,0.000,17.000
18/8/2007,0.102,0.000,239.310,0.400,0.000,0.000,0.000
9/11/2008,3.008,0.052,237.000,12.600,0.000,0.000,17.000
20/5/2008,0.308,0.254,244.020,1.600,0.000,1.000,0.000
6/1/2007,0.348,0.200,245.700,1.600,0.000,0.000,0.000
31/5/2007,0.300,0.074,235.540,1.200,0.000,0.000,0.000
7/6/2007,0.792,0.066,234.060,3.400,0.000,0.000,0.000
4/12/2007,2.986,0.000,239.220,12.400,0.000,0.000,0.000
17/1/2008,3.722,0.084,241.810,16.400,0.000,0.000,0.000
15/2/2007,1.426,0.130,240.800,5.800,0.000,0.000,18.000
5/3/2007,0.426,0.238,243.580,2.000,0.000,2.000,0.000
5/5/2008,0.348,0.116,241.410,1.400,0.000,0.000,1.000
2/9/2007,3.148,0.234,239.090,13.200,38.000,2.000,0.000
20/8/2007,0.284,0.140,241.480,1.400,0.000,0.000,0.000
23/1/2007,0.308,0.116,240.030,1.400,0.000,0.000,0.000
25/6/2008,1.430,0.364,238.840,6.000,0.000,0.000,18.000
1/6/2007,0.320,0.102,236.280,1.400,0.000,0.000,0.000
26/7/2008,0.244,0.118,241.530,1.000,0.000,0.000,1.000
3/9/2008,0.240,0.052,241.590,1.200,0.000,0.000,0.000
9/4/2008,0.488,0.334,240.750,2.400,0.000,1.000,1.000
19/1/2008,0.410,0.238,243.870,1.800,0.000,2.000,0.000
15/2/2007,1.562,0.000,244.890,6.400,0.000,0.000,19.000
27/12/2007,0.922,0.000,241.490,3.800,0.000,0.000,0.000
12/3/2008,0.410,0.000,242.610,1.800,0.000,0.000,0.000
26/8/2008,0.082,0.000,242.200,0.200,0.000,0.000,0.000
25/7/2007,0.240,0.150,236.900,1.200,0.000,0.000,0.000
13/7/2008,1.368,0.316,240.360,5.800,0.000,0.000,12.000
11/5/2008,0.246,0.120,240.100,1.000,0.000,2.000,1.000
15/4/2008,0.526,0.108,242.470,2.200,0.000,0.000,1.000
19/4/2008,1.808,0.484,238.740,7.800,0.000,1.000,18.000
25/9/2007,0.818,0.090,238.170,3.400,0.000,1.000,0.000
14/1/2008,1.460,0.050,240.880,6.000,0.000,0.000,18.000
30/4/2008,0.256,0.000,243.090,1.000,0.000,0.000,1.000
13/9/2007,1.844,0.000,237.910,7.600,0.000,0.000,17.000
12/2/2008,3.944,0.050,230.780,17.000,35.000,0.000,16.000
5/8/2008,0.254,0.252,240.150,1.400,0.000,0.000,1.000
17/2/2007,0.558,0.296,237.230,2.600,0.000,0.000,0.000
19/4/2008,1.836,0.512,238.960,8.000,0.000,1.000,18.000
26/1/2007,0.780,0.224,243.920,3.200,1.000,2.000,0.000
1/1/2007,2.618,0.124,237.660,11.000,0.000,0.000,0.000
18/6/2008,1.202,0.000,237.970,5.000,0.000,0.000,18.000
12/11/2008,1.662,0.068,238.960,7.000,0.000,0.000,0.000
17/4/2007,0.316,0.092,240.290,1.400,0.000,0.000,0.000
2/9/2007,0.246,0.198,242.430,1.200,0.000,1.000,0.000
9/11/2007,0.530,0.000,241.090,2.200,0.000,0.000,0.000
6/3/2008,3.486,0.114,236.140,14.600,0.000,0.000,17.000
