date,Usage_kWh,WeekStatus,Day_of_week,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh
21/05/2018 14:45,76.18,Weekday,Monday,Maximum_Load,47.41,0.00
01/01/2018 17:45,3.60,Weekday,Monday,Light_Load,0.00,17.39
16/07/2018 21:15,4.90,Weekday,Monday,Medium_Load,0.00,24.01
28/09/2018 10:00,47.20,Weekday,Friday,Medium_Load,24.48,0.00
16/11/2018 19:30,59.04,Weekday,Friday,Maximum_Load,26.28,0.00
31/07/2018 02:30,2.84,Weekday,Tuesday,Light_Load,4.36,0.00
05/09/2018 11:30,64.26,Weekday,Wednesday,Maximum_Load,38.77,0.00
04/12/2018 21:15,5.69,Weekday,Tuesday,Medium_Load,0.00,20.20
27/09/2018 01:15,2.74,Weekday,Thursday,Light_Load,6.01,0.00
06/09/2018 17:00,57.89,Weekday,Thursday,Maximum_Load,29.48,0.00
17/06/2018 14:15,3.02,Weekend,Sunday,Light_Load,0.00,16.85
06/11/2018 08:15,35.03,Weekday,Tuesday,Light_Load,30.74,0.00
06/12/2018 22:00,5.54,Weekday,Thursday,Medium_Load,0.00,19.98
13/01/2018 01:30,4.64,Weekend,Saturday,Light_Load,3.89,0.00
12/07/2018 01:45,2.95,Weekday,Thursday,Light_Load,4.86,0.00
26/03/2018 15:15,59.76,Weekday,Monday,Maximum_Load,14.15,0.00
22/11/2018 12:15,5.22,Weekday,Thursday,Medium_Load,0.00,20.70
16/11/2018 10:15,67.68,Weekday,Friday,Maximum_Load,40.68,0.00
08/02/2018 14:30,118.22,Weekday,Thursday,Medium_Load,54.04,0.00
07/02/2018 03:45,5.90,Weekday,Wednesday,Light_Load,5.29,0.00
07/04/2018 06:15,3.17,Weekend,Saturday,Light_Load,5.33,0.00
03/06/2018 23:45,3.17,Weekend,Sunday,Light_Load,4.79,0.00
21/11/2018 08:30,50.08,Weekday,Wednesday,Light_Load,31.97,0.00
22/12/2018 03:15,3.82,Weekend,Saturday,Light_Load,2.84,0.07
05/07/2018 19:30,57.85,Weekday,Thursday,Medium_Load,22.50,0.00
05/12/2018 08:15,27.65,Weekday,Wednesday,Light_Load,17.17,0.11
08/05/2018 03:45,3.02,Weekday,Tuesday,Light_Load,3.74,0.00
25/12/2018 03:45,3.28,Weekday,Tuesday,Light_Load,2.41,0.07
06/07/2018 18:15,60.44,Weekday,Friday,Medium_Load,33.73,0.61
02/01/2018 00:15,3.20,Weekday,Tuesday,Light_Load,3.10,0.00
16/04/2018 18:15,37.87,Weekday,Monday,Medium_Load,14.72,0.65
23/08/2018 14:30,40.07,Weekday,Thursday,Maximum_Load,8.10,0.00
28/08/2018 23:00,3.13,Weekday,Tuesday,Medium_Load,4.90,0.00
26/02/2018 00:30,3.82,Weekday,Monday,Light_Load,3.31,0.00
21/12/2018 11:45,57.85,Weekday,Friday,Maximum_Load,23.98,0.00
18/10/2018 17:30,47.41,Weekday,Thursday,Medium_Load,29.12,0.00
22/11/2018 04:45,3.20,Weekday,Thursday,Light_Load,3.17,0.00
28/08/2018 07:15,2.52,Weekday,Tuesday,Light_Load,4.36,0.00
28/07/2018 10:00,47.23,Weekend,Saturday,Medium_Load,13.21,0.00
16/07/2018 06:00,2.81,Weekday,Monday,Light_Load,5.04,0.00
16/05/2018 02:00,3.82,Weekday,Wednesday,Light_Load,4.86,0.00
22/12/2018 15:30,3.53,Weekend,Saturday,Light_Load,0.00,14.15
21/07/2018 09:45,43.49,Weekend,Saturday,Medium_Load,23.87,0.00
02/09/2018 05:15,3.17,Weekend,Sunday,Light_Load,6.12,0.00
02/09/2018 01:15,2.74,Weekend,Sunday,Light_Load,4.90,0.00
12/02/2018 07:30,5.33,Weekday,Monday,Light_Load,5.04,0.00
13/03/2018 13:15,53.75,Weekday,Tuesday,Maximum_Load,16.24,2.66
24/01/2018 17:30,65.16,Weekday,Wednesday,Maximum_Load,17.64,0.00
27/01/2018 11:30,30.85,Weekend,Saturday,Maximum_Load,7.49,0.00
03/05/2018 04:00,3.13,Weekday,Thursday,Light_Load,4.00,0.00
08/05/2018 11:00,80.14,Weekday,Tuesday,Maximum_Load,35.82,0.00
28/08/2018 04:45,2.63,Weekday,Tuesday,Light_Load,4.07,0.00
06/11/2018 22:00,3.85,Weekday,Tuesday,Medium_Load,0.00,17.32
12/06/2018 16:00,63.61,Weekday,Tuesday,Maximum_Load,18.36,0.00
05/04/2018 12:00,48.38,Weekday,Thursday,Maximum_Load,28.01,0.00
25/08/2018 20:00,2.88,Weekend,Saturday,Light_Load,0.00,13.54
29/01/2018 16:45,129.13,Weekday,Monday,Medium_Load,46.58,0.00
12/09/2018 09:30,41.69,Weekday,Wednesday,Medium_Load,21.17,0.00
11/09/2018 17:30,75.82,Weekday,Tuesday,Medium_Load,43.56,0.00
05/05/2018 05:30,3.53,Weekend,Saturday,Light_Load,4.54,0.00
07/11/2018 11:15,49.00,Weekday,Wednesday,Maximum_Load,27.72,0.00
01/06/2018 19:30,4.97,Weekday,Friday,Medium_Load,0.00,25.56
28/11/2018 09:45,58.97,Weekday,Wednesday,Medium_Load,25.85,0.00
23/05/2018 00:15,3.20,Weekday,Wednesday,Light_Load,5.22,0.00
29/01/2018 14:00,117.07,Weekday,Monday,Medium_Load,46.44,0.00
24/03/2018 06:45,3.49,Weekend,Saturday,Light_Load,4.86,0.00
09/09/2018 13:30,21.10,Weekend,Sunday,Maximum_Load,2.52,2.92
19/08/2018 02:15,2.74,Weekend,Sunday,Light_Load,4.68,0.00
06/12/2018 07:30,3.46,Weekday,Thursday,Light_Load,2.56,0.04
25/03/2018 20:00,5.00,Weekend,Sunday,Medium_Load,0.00,26.46
25/06/2018 04:00,2.84,Weekday,Monday,Light_Load,4.68,0.00
27/01/2018 20:45,4.39,Weekend,Saturday,Medium_Load,0.00,17.17
21/12/2018 22:30,5.26,Weekday,Friday,Maximum_Load,3.31,0.00
14/05/2018 08:45,58.10,Weekday,Monday,Light_Load,52.96,0.00
14/08/2018 01:00,2.81,Weekday,Tuesday,Light_Load,5.26,0.00
25/10/2018 11:00,67.43,Weekday,Thursday,Maximum_Load,44.50,0.00
23/02/2018 17:00,60.30,Weekday,Friday,Medium_Load,22.10,0.00
22/02/2018 06:45,5.00,Weekday,Thursday,Light_Load,4.82,0.00
24/05/2018 09:45,99.58,Weekday,Thursday,Medium_Load,38.99,0.00
19/04/2018 23:45,3.53,Weekday,Thursday,Light_Load,3.20,0.00
18/01/2018 09:45,70.06,Weekday,Thursday,Medium_Load,27.47,0.00
14/01/2018 07:00,3.96,Weekend,Sunday,Light_Load,3.64,0.00
29/11/2018 22:30,4.14,Weekday,Thursday,Maximum_Load,5.47,0.00
09/12/2018 21:45,3.38,Weekend,Sunday,Light_Load,0.00,14.62
01/07/2018 08:00,3.06,Weekend,Sunday,Light_Load,3.67,0.00
29/10/2018 16:45,101.27,Weekday,Monday,Maximum_Load,47.59,0.00
14/01/2018 11:00,14.00,Weekend,Sunday,Maximum_Load,0.00,21.82
02/06/2018 11:15,6.26,Weekend,Saturday,Light_Load,0.00,6.77
23/04/2018 07:30,3.89,Weekday,Monday,Light_Load,3.89,0.00
17/12/2018 21:15,4.43,Weekday,Monday,Medium_Load,0.00,21.13
11/12/2018 02:15,4.28,Weekday,Tuesday,Light_Load,3.67,0.04
05/11/2018 04:45,2.92,Weekday,Monday,Light_Load,4.32,0.00
12/07/2018 16:00,51.73,Weekday,Thursday,Maximum_Load,17.53,0.00
28/05/2018 14:45,54.11,Weekday,Monday,Maximum_Load,27.22,0.00
03/10/2018 06:30,3.49,Weekday,Wednesday,Light_Load,7.85,0.00
17/04/2018 14:00,94.00,Weekday,Tuesday,Maximum_Load,36.50,0.00
18/06/2018 21:30,3.85,Weekday,Monday,Medium_Load,0.00,23.04
01/02/2018 19:30,92.84,Weekday,Thursday,Maximum_Load,40.79,0.00
09/02/2018 08:15,57.56,Weekday,Friday,Light_Load,35.35,0.00
17/11/2018 05:30,3.17,Weekend,Saturday,Light_Load,4.32,0.00
09/09/2018 08:30,5.76,Weekend,Sunday,Light_Load,10.22,0.00
17/01/2018 10:00,67.18,Weekday,Wednesday,Medium_Load,19.94,0.00
31/12/2018 05:15,3.56,Weekday,Monday,Light_Load,2.74,0.14
10/04/2018 19:00,48.17,Weekday,Tuesday,Medium_Load,15.52,0.00
25/12/2018 21:30,4.03,Weekday,Tuesday,Light_Load,0.00,20.45
07/08/2018 22:45,3.06,Weekday,Tuesday,Medium_Load,5.40,0.00
05/10/2018 04:30,3.38,Weekday,Friday,Light_Load,6.41,0.00
15/12/2018 10:30,3.35,Weekend,Saturday,Light_Load,0.00,15.05
21/11/2018 03:30,2.88,Weekday,Wednesday,Light_Load,1.94,0.25
21/02/2018 09:15,60.59,Weekday,Wednesday,Medium_Load,14.98,0.00
09/06/2018 08:15,3.13,Weekend,Saturday,Light_Load,5.47,0.00
26/11/2018 08:30,88.92,Weekday,Monday,Light_Load,65.88,0.00
25/12/2018 16:30,3.42,Weekday,Tuesday,Light_Load,0.00,14.00
27/12/2018 19:30,47.99,Weekday,Thursday,Maximum_Load,7.42,0.25
30/05/2018 20:45,68.80,Weekday,Wednesday,Medium_Load,26.39,0.00
22/11/2018 10:15,139.57,Weekday,Thursday,Maximum_Load,58.90,0.00
03/01/2018 18:00,73.62,Weekday,Wednesday,Maximum_Load,13.25,1.69
15/08/2018 04:30,2.66,Weekday,Wednesday,Light_Load,4.32,0.00
08/10/2018 02:30,2.66,Weekday,Monday,Light_Load,5.18,0.00
23/03/2018 06:30,3.24,Weekday,Friday,Light_Load,3.96,0.00
14/01/2018 10:15,15.01,Weekend,Sunday,Maximum_Load,0.04,13.50
19/08/2018 23:15,2.63,Weekend,Sunday,Light_Load,4.54,0.00
09/06/2018 17:45,3.13,Weekend,Saturday,Light_Load,0.00,16.42
19/08/2018 18:45,2.66,Weekend,Sunday,Light_Load,0.00,9.94
26/09/2018 05:45,2.63,Weekday,Wednesday,Light_Load,5.36,0.00
15/04/2018 08:15,3.17,Weekend,Sunday,Light_Load,4.54,0.00
20/11/2018 01:00,3.60,Weekday,Tuesday,Light_Load,3.74,0.00
27/06/2018 19:00,3.71,Weekday,Wednesday,Medium_Load,0.00,26.10
02/03/2018 21:15,40.68,Weekday,Friday,Medium_Load,7.38,0.36
25/08/2018 13:00,3.38,Weekend,Saturday,Light_Load,0.00,13.14
19/02/2018 13:15,61.67,Weekday,Monday,Medium_Load,22.43,1.73
08/02/2018 06:30,4.93,Weekday,Thursday,Light_Load,6.26,0.00
02/05/2018 01:45,4.00,Weekday,Wednesday,Light_Load,5.47,0.00
08/11/2018 22:30,3.78,Weekday,Thursday,Maximum_Load,6.80,0.00
18/06/2018 12:15,12.49,Weekday,Monday,Medium_Load,3.02,12.92
04/08/2018 22:15,3.06,Weekend,Saturday,Light_Load,1.08,5.22
05/10/2018 06:00,3.02,Weekday,Friday,Light_Load,5.65,0.00
16/06/2018 00:00,2.99,Weekend,Saturday,Light_Load,5.22,0.00
24/09/2018 07:15,2.66,Weekday,Monday,Light_Load,5.69,0.00
08/01/2018 21:45,5.18,Weekday,Monday,Medium_Load,0.00,25.99
03/12/2018 01:30,3.35,Weekday,Monday,Light_Load,2.48,0.00
02/02/2018 22:15,42.05,Weekday,Friday,Maximum_Load,13.14,0.43
06/12/2018 11:15,60.88,Weekday,Thursday,Maximum_Load,31.57,0.00
29/12/2018 22:45,3.13,Weekend,Saturday,Light_Load,2.77,0.00
01/10/2018 09:30,55.01,Weekday,Monday,Medium_Load,31.75,0.00
01/10/2018 11:00,55.84,Weekday,Monday,Maximum_Load,31.25,0.00
14/12/2018 11:45,88.85,Weekday,Friday,Maximum_Load,36.76,0.00
30/04/2018 19:00,3.78,Weekday,Monday,Medium_Load,0.00,25.88
02/02/2018 12:45,9.68,Weekday,Friday,Medium_Load,0.00,25.34
24/03/2018 10:15,33.52,Weekend,Saturday,Maximum_Load,0.58,3.24
07/01/2018 10:45,3.56,Weekend,Sunday,Light_Load,0.00,17.28
01/06/2018 08:30,51.19,Weekday,Friday,Light_Load,48.92,0.00
07/05/2018 02:30,2.99,Weekday,Monday,Light_Load,4.36,0.00
22/10/2018 03:45,2.92,Weekday,Monday,Light_Load,5.72,0.00
12/04/2018 09:30,104.54,Weekday,Thursday,Medium_Load,47.95,0.00
25/11/2018 09:15,4.93,Weekend,Sunday,Light_Load,0.00,20.20
20/05/2018 05:30,3.06,Weekend,Sunday,Light_Load,5.76,0.00
06/11/2018 18:45,52.81,Weekday,Tuesday,Maximum_Load,28.22,0.00
02/09/2018 20:00,2.88,Weekend,Sunday,Medium_Load,0.00,12.24
16/12/2018 15:45,48.42,Weekend,Sunday,Medium_Load,16.27,0.00
17/07/2018 09:15,58.64,Weekday,Tuesday,Medium_Load,44.46,0.00
02/08/2018 19:15,2.95,Weekday,Thursday,Light_Load,0.00,16.45
22/11/2018 03:45,3.20,Weekday,Thursday,Light_Load,3.13,0.00
29/03/2018 22:45,3.60,Weekday,Thursday,Medium_Load,5.04,0.00
15/03/2018 10:30,125.10,Weekday,Thursday,Maximum_Load,50.22,0.00
25/06/2018 01:00,2.95,Weekday,Monday,Light_Load,4.68,0.00
25/09/2018 08:45,2.48,Weekday,Tuesday,Light_Load,2.05,2.27
13/07/2018 21:45,3.82,Weekday,Friday,Medium_Load,0.00,16.34
04/05/2018 14:30,58.25,Weekday,Friday,Maximum_Load,27.25,0.00
24/05/2018 12:15,5.00,Weekday,Thursday,Medium_Load,0.00,18.18
18/10/2018 20:45,42.77,Weekday,Thursday,Medium_Load,17.86,0.00
05/11/2018 14:30,68.47,Weekday,Monday,Medium_Load,44.28,0.00
25/11/2018 20:00,3.10,Weekend,Sunday,Light_Load,0.00,15.95
05/02/2018 04:45,4.43,Weekday,Monday,Light_Load,4.61,0.00
12/04/2018 23:45,4.07,Weekday,Thursday,Light_Load,5.87,0.00
09/11/2018 18:30,58.79,Weekday,Friday,Maximum_Load,33.62,0.00
21/01/2018 15:30,5.15,Weekend,Sunday,Light_Load,0.00,25.70
14/06/2018 09:15,59.76,Weekday,Thursday,Medium_Load,16.96,0.00
18/10/2018 22:30,4.97,Weekday,Thursday,Medium_Load,9.22,0.00
19/05/2018 10:45,56.74,Weekend,Saturday,Maximum_Load,24.62,0.00
24/03/2018 12:15,6.34,Weekend,Saturday,Medium_Load,0.86,13.75
20/02/2018 05:45,5.80,Weekday,Tuesday,Light_Load,5.26,0.00
17/02/2018 17:15,3.92,Weekend,Saturday,Light_Load,0.00,20.74
22/08/2018 09:15,48.28,Weekday,Wednesday,Medium_Load,24.44,0.00
01/12/2018 17:30,4.75,Weekend,Saturday,Maximum_Load,0.00,21.10
19/04/2018 13:45,64.87,Weekday,Thursday,Maximum_Load,31.50,0.00
15/09/2018 03:15,2.70,Weekend,Saturday,Light_Load,5.00,0.00
11/04/2018 05:15,3.28,Weekday,Wednesday,Light_Load,4.68,0.00
29/03/2018 09:15,51.08,Weekday,Thursday,Medium_Load,17.68,0.00
20/04/2018 10:15,57.28,Weekday,Friday,Maximum_Load,26.17,0.00
24/11/2018 11:45,3.28,Weekend,Saturday,Light_Load,0.00,13.64
01/01/2018 03:30,3.31,Weekday,Monday,Light_Load,3.74,0.00
01/03/2018 00:30,5.33,Weekday,Thursday,Light_Load,5.80,0.00
28/09/2018 15:45,56.66,Weekday,Friday,Maximum_Load,32.62,0.00
03/07/2018 08:00,5.22,Weekday,Tuesday,Light_Load,6.12,0.00
23/06/2018 12:15,9.83,Weekend,Saturday,Medium_Load,3.35,9.76
19/04/2018 19:30,40.10,Weekday,Thursday,Medium_Load,3.13,0.40
19/11/2018 14:00,58.79,Weekday,Monday,Medium_Load,29.66,0.00
03/04/2018 16:00,67.36,Weekday,Tuesday,Maximum_Load,33.98,0.00
11/03/2018 16:30,30.35,Weekend,Sunday,Maximum_Load,0.54,2.02
19/04/2018 11:30,59.36,Weekday,Thursday,Maximum_Load,46.84,0.00
08/04/2018 09:30,90.58,Weekend,Sunday,Medium_Load,19.87,0.50
07/03/2018 23:45,3.06,Weekday,Wednesday,Light_Load,2.38,0.00
12/02/2018 22:15,32.69,Weekday,Monday,Maximum_Load,9.07,4.39
22/07/2018 02:30,3.31,Weekend,Sunday,Light_Load,0.00,4.50
01/12/2018 05:30,3.28,Weekend,Saturday,Light_Load,2.27,0.11
26/09/2018 07:30,2.56,Weekday,Wednesday,Light_Load,5.51,0.00
20/04/2018 08:30,48.92,Weekday,Friday,Light_Load,46.26,0.00
30/01/2018 21:00,71.42,Weekday,Tuesday,Medium_Load,12.49,0.00
17/01/2018 14:45,52.42,Weekday,Wednesday,Medium_Load,18.25,0.00
05/08/2018 20:15,3.13,Weekend,Sunday,Light_Load,0.00,16.60
23/11/2018 17:15,86.98,Weekday,Friday,Maximum_Load,45.97,0.00
22/09/2018 13:00,2.95,Weekend,Saturday,Light_Load,0.00,11.41
25/01/2018 20:00,69.16,Weekday,Thursday,Maximum_Load,21.38,0.00
03/10/2018 22:45,2.77,Weekday,Wednesday,Medium_Load,5.47,0.00
03/01/2018 22:00,5.18,Weekday,Wednesday,Medium_Load,0.00,26.78
12/08/2018 15:00,3.02,Weekend,Sunday,Light_Load,0.00,14.72
14/10/2018 20:15,3.06,Weekend,Sunday,Light_Load,0.00,12.64
09/09/2018 09:15,10.22,Weekend,Sunday,Medium_Load,0.11,5.47
27/11/2018 15:15,81.58,Weekday,Tuesday,Medium_Load,26.78,0.00
20/03/2018 09:30,68.51,Weekday,Tuesday,Medium_Load,30.53,0.00
08/03/2018 22:30,5.08,Weekday,Thursday,Medium_Load,4.82,0.00
27/05/2018 01:00,2.77,Weekend,Sunday,Light_Load,4.54,0.00
31/10/2018 23:45,3.92,Weekday,Wednesday,Light_Load,5.29,0.00
12/04/2018 02:15,3.53,Weekday,Thursday,Light_Load,4.57,0.00
06/06/2018 13:00,4.79,Weekday,Wednesday,Medium_Load,0.00,19.26
06/10/2018 09:45,41.69,Weekend,Saturday,Medium_Load,22.28,0.00
22/12/2018 12:00,3.60,Weekend,Saturday,Light_Load,0.00,13.68
02/01/2018 12:15,19.22,Weekday,Tuesday,Medium_Load,5.54,18.90
21/04/2018 04:00,3.10,Weekend,Saturday,Light_Load,3.64,0.00
09/09/2018 01:30,2.77,Weekend,Sunday,Light_Load,5.22,0.00
22/10/2018 14:45,92.56,Weekday,Monday,Maximum_Load,52.16,0.00
26/03/2018 17:30,55.87,Weekday,Monday,Medium_Load,26.89,0.00
06/05/2018 21:00,3.28,Weekend,Sunday,Light_Load,0.00,16.96
02/03/2018 13:45,90.86,Weekday,Friday,Maximum_Load,15.52,0.14
20/12/2018 11:00,77.51,Weekday,Thursday,Maximum_Load,43.70,0.00
26/09/2018 05:30,2.56,Weekday,Wednesday,Light_Load,5.29,0.00
25/04/2018 17:45,62.93,Weekday,Wednesday,Medium_Load,33.08,0.00
15/10/2018 03:30,2.74,Weekday,Monday,Light_Load,5.11,0.00
05/02/2018 09:30,71.39,Weekday,Monday,Medium_Load,25.20,0.00
25/11/2018 18:45,3.02,Weekend,Sunday,Light_Load,0.00,14.51
16/10/2018 09:30,110.52,Weekday,Tuesday,Medium_Load,49.18,0.00
16/09/2018 05:45,2.66,Weekend,Sunday,Light_Load,5.29,0.00
07/06/2018 23:30,3.35,Weekday,Thursday,Light_Load,4.43,0.00
25/05/2018 03:30,3.49,Weekday,Friday,Light_Load,4.00,0.00
19/04/2018 06:30,2.99,Weekday,Thursday,Light_Load,3.67,0.00
12/11/2018 22:30,4.97,Weekday,Monday,Maximum_Load,8.68,0.00
15/01/2018 08:30,84.92,Weekday,Monday,Light_Load,69.70,0.00
19/01/2018 16:45,95.26,Weekday,Friday,Medium_Load,32.15,0.00
07/05/2018 02:15,3.10,Weekday,Monday,Light_Load,4.36,0.00
29/07/2018 04:45,2.70,Weekend,Sunday,Light_Load,4.75,0.00
05/01/2018 11:15,129.85,Weekday,Friday,Maximum_Load,63.86,0.00
30/10/2018 05:00,2.95,Weekday,Tuesday,Light_Load,4.03,0.00
09/01/2018 19:00,114.80,Weekday,Tuesday,Maximum_Load,40.25,0.00
26/12/2018 13:00,6.41,Weekday,Wednesday,Medium_Load,0.00,21.10
06/07/2018 09:30,106.52,Weekday,Friday,Medium_Load,42.95,0.00
02/03/2018 01:00,3.28,Weekday,Friday,Light_Load,2.59,0.00
27/09/2018 05:00,3.17,Weekday,Thursday,Light_Load,6.48,0.00
15/09/2018 09:45,35.14,Weekend,Saturday,Medium_Load,8.39,0.00
27/03/2018 09:30,65.92,Weekday,Tuesday,Medium_Load,27.18,0.00
11/02/2018 12:45,4.21,Weekend,Sunday,Light_Load,0.00,17.78
12/12/2018 03:00,4.21,Weekday,Wednesday,Light_Load,3.64,0.04
04/08/2018 17:30,2.74,Weekend,Saturday,Light_Load,0.00,17.32
13/01/2018 11:30,95.33,Weekend,Saturday,Maximum_Load,47.27,0.00
12/06/2018 17:30,82.62,Weekday,Tuesday,Medium_Load,20.77,0.58
15/06/2018 23:30,3.42,Weekday,Friday,Light_Load,4.25,0.00
31/01/2018 18:15,59.69,Weekday,Wednesday,Maximum_Load,19.98,0.00
23/09/2018 22:00,2.81,Weekend,Sunday,Light_Load,0.04,10.69
23/08/2018 23:00,3.38,Weekday,Thursday,Medium_Load,5.76,0.00
19/03/2018 03:00,3.10,Weekday,Monday,Light_Load,3.71,0.00
22/01/2018 10:00,82.48,Weekday,Monday,Medium_Load,34.16,0.00
18/02/2018 23:00,3.24,Weekend,Sunday,Light_Load,4.64,0.00
25/04/2018 01:45,3.60,Weekday,Wednesday,Light_Load,3.31,0.00
24/02/2018 10:45,88.60,Weekend,Saturday,Maximum_Load,12.64,0.00
02/07/2018 22:00,3.82,Weekday,Monday,Medium_Load,0.00,22.64
12/11/2018 20:30,111.35,Weekday,Monday,Medium_Load,42.23,0.00
08/11/2018 05:45,3.13,Weekday,Thursday,Light_Load,5.29,0.00
22/01/2018 14:00,67.75,Weekday,Monday,Medium_Load,32.11,0.00
18/08/2018 22:30,2.59,Weekend,Saturday,Medium_Load,4.57,0.00
16/08/2018 13:00,4.61,Weekday,Thursday,Medium_Load,0.00,13.90
19/12/2018 23:45,3.96,Weekday,Wednesday,Light_Load,2.34,0.58
28/09/2018 22:15,3.24,Weekday,Friday,Medium_Load,6.19,0.18
29/06/2018 08:30,49.28,Weekday,Friday,Light_Load,50.94,0.00
08/03/2018 16:00,69.88,Weekday,Thursday,Maximum_Load,34.02,0.00
08/12/2018 01:00,4.00,Weekend,Saturday,Light_Load,3.78,0.00
03/11/2018 10:15,92.41,Weekend,Saturday,Maximum_Load,31.28,0.00
04/10/2018 05:15,3.02,Weekday,Thursday,Light_Load,6.44,0.00
01/01/2018 15:30,4.10,Weekday,Monday,Light_Load,0.00,21.35
16/12/2018 03:45,3.38,Weekend,Sunday,Light_Load,2.77,0.00
03/08/2018 07:00,2.81,Weekday,Friday,Light_Load,6.23,0.00
13/01/2018 09:15,100.58,Weekend,Saturday,Medium_Load,29.88,0.00
29/05/2018 21:30,3.82,Weekday,Tuesday,Medium_Load,0.00,20.59
19/02/2018 09:15,62.10,Weekday,Monday,Medium_Load,18.94,0.00
16/11/2018 23:15,3.92,Weekday,Friday,Light_Load,6.19,0.00
26/08/2018 04:30,2.63,Weekend,Sunday,Light_Load,4.46,0.00
22/03/2018 11:30,64.91,Weekday,Thursday,Maximum_Load,40.57,0.00
09/07/2018 18:15,32.87,Weekday,Monday,Medium_Load,12.35,2.12
25/05/2018 23:00,3.64,Weekday,Friday,Medium_Load,4.79,0.00
08/05/2018 10:45,140.04,Weekday,Tuesday,Maximum_Load,63.25,0.00
02/09/2018 08:30,50.18,Weekend,Sunday,Light_Load,46.58,0.00
21/04/2018 08:15,28.98,Weekend,Saturday,Light_Load,23.04,0.00
21/03/2018 17:30,59.76,Weekday,Wednesday,Medium_Load,18.18,0.00
15/11/2018 01:30,3.56,Weekday,Thursday,Light_Load,4.75,0.00
09/07/2018 12:45,5.44,Weekday,Monday,Medium_Load,0.00,19.08
23/10/2018 08:15,37.33,Weekday,Tuesday,Light_Load,29.02,0.00
